time,alt,vel,accel
0,-0.0608,0.0339,0.9812
0.117,-0.5094,0.555,5.0845
0.234,0.7272,2.6123,10.9028
0.351,2.4758,6.2172,14.4241
0.468,3.0649,7.7664,15.8492
0.585,4.2226,9.7836,16.93
0.702,7.4868,15.4374,18.8582
0.819,10.8095,20.6279,19.8975
0.936,14.5439,25.7609,20.5291
1.053,19.4668,32.1165,21.3486
1.17,25.8429,40.1348,22.4218
1.287,35.2151,52.4798,24.5581
1.404,45.7973,65.4374,26.0676
1.521,52.668,68.7763,23.7546
1.638,60.5324,72.0251,22.3236
1.755,69.7897,76.4756,21.8622
1.872,80.995,83.3838,22.4198
1.989,93.8557,92.2652,23.4226
2.106,106.4336,99.009,23.3174
2.223,119.1584,107.4208,23.5487
2.34,133.0591,115.6118,23.6792
2.457,140.6565,106.6416,18.2374
2.574,159.4384,118.0823,21.8803
2.691,176,125.0064,22.5215
2.808,194.4419,134.6491,23.8028
2.925,211.6898,140.8763,23.3877
3.042,229.7455,147.0724,23.122
3.159,248.2926,152.7193,22.771
3.276,266.9338,156.9513,22.091
3.393,286.3782,161.5755,21.797
3.51,306.2527,165.871,21.5036
3.627,326.7941,170.3437,21.3843
3.744,347.4079,174.0363,21.0336
3.861,365.5805,170.8678,18.5994
3.978,389.995,179.2718,21.0344
4.095,412.139,183.3023,20.6065
4.212,433.1014,184.768,17.7518
4.329,450.7478,183.3692,13.5532
4.446,468.7203,180.2789,9.0089
4.563,487.5593,177.7726,4.6471
4.68,497.4596,153.631,-5.9627
4.797,522.6225,159.9599,-2.7584
4.914,545.0179,163.5178,-2.2508
5.031,563.3403,160.2297,-4.4248
5.148,581.7507,157.2565,-5.6935
5.265,601.5368,157.5921,-5.4691
5.382,621.1845,158.2393,-5.1661
5.499,639.9126,157.6163,-5.3991
5.616,658.1161,156.222,-5.8528
5.733,676.4464,155.0591,-6.2527
5.85,695.2417,155.0139,-5.976
5.967,712.5833,152.5288,-6.5988
6.084,729.7072,149.9402,-7.0592
6.201,744.2725,146.3104,-7.9174
6.318,759.9652,139.776,-8.8524
6.435,778.427,139.9818,-7.1495
6.552,795.3007,138.5397,-6.7106
6.669,809.5014,136.1559,-7.0357
6.786,824.2859,134.2477,-6.9057
6.903,838.6871,131.1761,-7.091
7.02,847.3595,114.6251,-11.4735
7.137,867.4062,121.4392,-6.1914
7.254,883.371,122.533,-4.9674
7.371,898.8603,123.4295,-4.3361
7.488,913.8329,123.4194,-4.1739
7.605,927.8588,121.7895,-4.5955
7.722,942.3257,121.2859,-4.4509
7.839,956.6152,120.6822,-4.3651
7.956,970.7302,119.9479,-4.3351
8.073,983.8189,117.2512,-4.9148
8.19,997.5327,116.125,-4.734
8.307,1010.8538,114.6346,-4.7364
8.424,1024.2137,113.5414,-4.5684
8.541,1037.294,112.2454,-4.4925
8.658,1048.7474,107.4077,-5.5304
8.775,1062.2092,107.0562,-4.6586
8.892,1075.1595,106.4627,-4.1997
9.009,1087.4786,105.1412,-4.1201
9.126,1098.5842,104.3807,-4.1123
9.243,1110.3149,101.5222,-4.4706
9.36,1121.5975,101.0992,-4.1098
9.477,1127.0549,86.9784,-8.2389
9.594,1142.0271,91.9078,-4.2395
9.711,1154.341,93.2824,-3.0729
9.828,1165.3099,92.3901,-3.1137
9.945,1176.6896,92.5677,-2.736
10.062,1187.6539,92.2108,-2.6763
10.179,1198.2913,91.3975,-2.7973
10.296,1208.3746,89.6339,-3.1804
10.413,1218.4175,87.8534,-3.4032
10.53,1228.8683,87.1742,-3.1251
10.647,1239.2645,86.7355,-2.8638
10.764,1248.932,85.1893,-3.077
10.881,1258.2607,83.1882,-3.3356
10.998,1266.5707,79.0245,-4.1601
11.115,1276.9439,79.424,-3.1061
11.232,1286.493,78.8353,-2.771
11.349,1295.4553,77.5334,-2.8192
11.466,1304.136,76.0022,-2.9303
11.583,1312.4712,73.9612,-3.1495
11.7,1321.6598,73.9523,-2.5548
11.817,1330.0254,72.7077,-2.6006
11.934,1338.3355,71.6305,-2.5856
12.051,1345.0432,69.3579,-3.1039
12.168,1352.2426,67.5681,-3.1844
12.285,1359.9178,66.7737,-2.8548
12.402,1363.7407,57.3699,-5.4201
12.519,1373.3804,59.8678,-2.9145
12.636,1381.5184,60.6022,-2.0168
12.753,1388.933,60.3861,-1.8036
12.87,1395.8306,59.4349,-1.911
12.987,1402.7579,58.7599,-1.876
13.104,1409.4069,57.781,-1.9603
13.221,1415.9767,56.8514,-1.9818
13.338,1421.2717,53.3429,-2.8244
13.455,1428.4536,53.8844,-1.9752
13.572,1434.8453,53.403,-1.7981
13.689,1440.6942,52.1659,-1.9487
13.806,1446.2183,50.5414,-2.1626
13.923,1451.9401,49.5538,-2.0677
14.04,1457.115,47.7439,-2.282
14.157,1462.6435,46.9093,-2.069
14.274,1467.2637,45.737,-2.1681
14.391,1471.8029,44.2384,-2.2824
14.508,1474.4196,38.2288,-3.7543
14.625,1480.3698,39.0769,-2.3159
14.742,1485.5081,39.1357,-1.7114
14.859,1490.2672,38.9113,-1.4444
14.976,1494.5363,37.9999,-1.5243
15.093,1498.6905,37.0537,-1.5928
15.21,1502.3173,35.2385,-1.9078
15.327,1506.1382,34.0419,-1.8802
15.444,1510.0822,33.3724,-1.6853
15.561,1513.6433,32.2484,-1.7024
15.678,1516.6068,30.8903,-1.8689
15.795,1519.6715,28.894,-2.0749
15.912,1523.1156,28.0609,-1.8078
16.029,1526.5588,27.6182,-1.5162
16.146,1528.986,26.1276,-1.7543
16.263,1530.4524,22.3344,-2.6157
16.38,1533.7807,22.4219,-1.798
16.497,1536.4366,21.772,-1.5774
16.614,1538.8683,20.9945,-1.4814
16.731,1540.8416,19.6153,-1.6321
16.848,1542.7508,18.3419,-1.6784
16.965,1544.6118,17.216,-1.6514
17.082,1546.4163,16.2555,-1.5703
17.199,1547.9102,14.9788,-1.6396
17.316,1549.4225,13.9793,-1.5806
17.433,1550.7714,12.9342,-1.5493
17.55,1551.8242,11.5569,-1.6355
17.667,1552.8993,10.4913,-1.6008
17.784,1553.7738,9.3031,-1.6065
17.901,1554.2499,7.787,-1.7371
18.018,1554.5546,6.0087,-1.8957
18.135,1557.7094,9.2924,0.3241
18.252,1561.5012,14.2954,1.6028
